date,open,close,high,low,amount,volume
2022-03-29 15:00:00,58.01,65.38,74.72,56.14,1301657472.00,394582.00
2022-03-30 15:00:00,63.45,61.70,69.91,61.41,1220791552.00,350418.00
2022-03-31 15:00:00,59.15,57.13,64.56,56.53,1040669888.00,318689.00
2022-04-01 15:00:00,53.33,53.37,54.98,50.47,752426624.00,267061.00
2022-04-06 15:00:00,55.20,54.21,58.48,53.80,716607296.00,237398.00
2022-04-07 15:00:00,52.45,65.04,65.04,51.85,875565824.00,283041.00
2022-04-08 15:00:00,60.50,52.92,61.19,52.92,809703168.00,262123.00
2022-04-11 15:00:00,51.78,52.99,56.57,51.14,513272096.00,176807.00
2022-04-12 15:00:00,52.92,55.15,56.32,51.27,519062560.00,178866.00
2022-04-13 15:00:00,55.20,57.35,60.63,53.70,637809920.00,209351.00
2022-04-14 15:00:00,56.62,54.27,57.24,53.20,539608960.00,182710.00
2022-04-15 15:00:00,53.99,54.75,57.99,53.52,477779936.00,160279.00
2022-04-18 15:00:00,54.10,51.42,54.81,50.54,430170784.00,154668.00
2022-04-19 15:00:00,50.67,47.89,50.69,47.59,413062784.00,158230.00
2022-04-20 15:00:00,48.28,49.78,51.35,46.41,473946272.00,180939.00
2022-04-21 15:00:00,48.65,45.57,50.11,45.32,340743776.00,133611.00
2022-04-22 15:00:00,45.10,45.81,47.79,44.97,274852000.00,110555.00
2022-04-25 15:00:00,44.91,43.04,47.25,42.80,253212064.00,104793.00
2022-04-26 15:00:00,43.06,42.46,44.03,40.74,251320224.00,111280.00
2022-04-27 15:00:00,40.55,41.86,42.35,39.73,211809184.00,96283.00
2022-04-28 15:00:00,41.17,39.88,43.23,39.76,230259904.00,104542.00
2022-04-29 15:00:00,40.57,41.69,42.57,40.04,231606048.00,104869.00
2022-05-05 15:00:00,42.48,44.39,45.38,41.92,277855488.00,119391.00
2022-05-06 15:00:00,43.41,45.30,49.51,43.09,364107840.00,147317.00
2022-05-09 15:00:00,44.70,46.00,46.76,44.70,281214688.00,115293.00
2022-05-10 15:00:00,45.66,47.89,48.56,45.10,323805536.00,128391.00
2022-05-11 15:00:00,48.62,46.16,49.10,46.07,351353568.00,138522.00
2022-05-12 15:00:00,45.27,46.78,47.06,44.65,241796800.00,98639.00
2022-05-13 15:00:00,47.31,47.10,49.81,46.71,298288864.00,116009.00
2022-05-16 15:00:00,47.12,46.56,48.43,46.18,219574096.00,87029.00
2022-05-17 15:00:00,46.54,44.84,46.74,43.99,189620672.00,79375.00
2022-05-18 15:00:00,45.47,44.93,46.29,44.48,144979472.00,59853.00
2022-05-19 15:00:00,44.03,45.10,45.62,44.03,119526544.00,49726.00
2022-05-20 15:00:00,45.32,45.15,46.33,44.91,115356408.00,47527.00
2022-05-23 15:00:00,45.53,47.01,47.66,45.51,172792736.00,69096.00
2022-05-24 15:00:00,46.56,42.68,46.87,42.40,213777952.00,90117.00
2022-05-25 15:00:00,42.85,43.21,43.36,42.27,102282912.00,44674.00
2022-05-26 15:00:00,43.04,42.29,43.13,41.60,101281336.00,44784.00
2022-05-27 15:00:00,42.31,42.27,43.00,41.69,78168256.00,34488.00
2022-05-30 15:00:00,22.86,22.72,22.86,22.39,64726772.00,29115.00
2022-05-31 15:00:00,22.86,22.96,23.09,22.02,88285856.00,39853.00
2022-06-01 15:00:00,22.95,22.97,23.42,22.75,79681768.00,35264.00
2022-06-02 15:00:00,23.18,23.22,23.23,22.47,79704880.00,35605.00
2022-06-06 15:00:00,23.01,23.68,23.72,23.01,111869080.00,48518.00
2022-06-07 15:00:00,23.93,25.06,25.40,23.50,277573632.00,115271.00
2022-06-08 15:00:00,25.06,24.17,25.07,23.48,213949520.00,90469.00
2022-06-09 15:00:00,23.72,23.08,24.44,22.94,148405184.00,64363.00
2022-06-10 15:00:00,22.76,23.38,23.44,22.62,100317712.00,44086.00
2022-06-13 15:00:00,23.10,24.07,24.18,23.10,114194544.00,49039.00
2022-06-14 15:00:00,23.74,24.15,24.35,23.58,107351520.00,45601.00
2022-06-15 15:00:00,24.22,24.22,24.80,24.05,147997728.00,61825.00
2022-06-16 15:00:00,24.19,25.06,25.31,24.11,180114928.00,73632.00
2022-06-17 15:00:00,25.06,27.76,28.85,25.01,432697248.00,162466.00
2022-06-20 15:00:00,28.17,28.48,29.05,27.56,279637792.00,100675.00
2022-06-21 15:00:00,29.09,27.35,29.16,27.01,221673184.00,81563.00
2022-06-22 15:00:00,27.54,28.17,29.07,27.44,216692560.00,78093.00
2022-06-23 15:00:00,29.85,31.44,33.27,29.23,514561536.00,168643.00
2022-06-24 15:00:00,32.25,31.96,34.70,31.55,415393920.00,129077.00
2022-06-27 15:00:00,32.25,31.00,33.36,30.11,379734816.00,123406.00
2022-06-28 15:00:00,30.96,31.86,32.57,30.80,222798608.00,71799.00
2022-06-29 15:00:00,31.92,32.71,34.65,31.64,345354848.00,106264.00
2022-06-30 15:00:00,33.15,35.48,38.17,32.76,337068704.00,96321.00
2022-07-01 15:00:00,34.65,35.41,36.45,34.51,224947056.00,64711.00
2022-07-04 15:00:00,35.70,35.36,36.21,34.42,172709280.00,50071.00
2022-07-05 15:00:00,35.40,34.04,35.40,33.63,223593680.00,66575.00
2022-07-06 15:00:00,33.70,35.19,36.22,33.32,221349072.00,64515.00
