date,open,high,low,close,volume,amount
2024-03-13 10:45:00,506.60,507.18,506.58,506.96,442,24441
2024-03-13 13:45:00,506.96,507.24,506.66,507.08,330,24446
2024-03-13 14:45:00,507.08,507.26,506.82,506.98,606,24441
2024-03-13 15:00:00,506.98,507.36,506.96,507.34,133,24426
2024-03-13 22:00:00,508.26,509.78,507.68,508.94,2652,24664
2024-03-13 23:00:00,509.02,509.56,508.68,509.26,640,24668
2024-03-14 00:00:00,509.26,510.22,509.24,509.88,551,24658
2024-03-14 01:00:00,509.88,510.10,509.52,510.04,200,24642
2024-03-14 02:00:00,510.04,511.52,510.04,510.34,437,24612
2024-03-14 09:30:00,510.34,510.82,509.90,510.06,959,24987
2024-03-14 10:45:00,510.06,510.10,509.24,509.44,356,25014
2024-03-14 13:45:00,509.44,509.68,508.66,508.82,503,25103
2024-03-14 14:45:00,508.82,508.82,508.00,508.28,1144,25296
2024-03-14 15:00:00,508.32,508.36,507.76,508.22,382,25343
2024-03-14 22:00:00,507.22,508.18,506.72,507.64,3110,25658
2024-03-14 23:00:00,507.52,507.90,507.00,507.66,347,25678
2024-03-15 00:00:00,507.60,507.72,506.40,506.90,568,25664
2024-03-15 01:00:00,506.90,507.54,506.80,507.38,379,25592
2024-03-15 02:00:00,507.38,508.34,507.30,507.64,356,25572
2024-03-15 09:30:00,507.64,508.68,507.64,508.36,581,25688
2024-03-15 10:45:00,508.36,508.46,507.72,507.90,538,25737
2024-03-15 13:45:00,507.90,509.36,507.84,509.20,734,25779
2024-03-15 14:45:00,509.20,509.98,509.08,509.44,779,25771
2024-03-15 15:00:00,509.44,509.82,509.40,509.68,307,25832
2024-03-15 22:00:00,508.30,508.86,507.82,508.38,3906,27311
2024-03-15 23:00:00,508.40,509.92,508.34,509.50,3754,28628
2024-03-16 01:00:00,509.04,509.56,508.70,508.88,192,28634
2024-03-16 02:00:00,509.04,509.08,508.14,508.38,247,28610
2024-03-16 09:30:00,508.38,508.64,508.34,508.64,78,28597
2024-03-18 00:00:00,509.50,509.58,508.64,509.04,500,28633
2024-03-18 09:30:00,508.64,508.64,506.68,507.22,1078,28652
2024-03-18 10:45:00,507.22,507.48,506.20,506.24,1925,28770
2024-03-18 13:45:00,506.24,506.26,505.28,505.72,1448,28784
2024-03-18 14:45:00,505.72,506.06,505.64,505.84,3138,29135
2024-03-18 15:00:00,505.84,506.12,505.66,505.86,300,29144
2024-03-18 22:00:00,508.20,508.20,507.12,507.46,2627,29320
2024-03-18 23:00:00,507.46,508.20,507.30,507.48,509,29326
2024-03-19 00:00:00,507.48,508.06,507.40,507.74,285,29337
2024-03-19 01:00:00,507.74,508.10,507.32,507.90,179,29338
2024-03-19 02:00:00,507.90,508.22,507.54,507.84,175,29346
2024-03-19 09:30:00,507.84,508.12,507.44,507.88,668,29414
2024-03-19 10:45:00,507.88,508.60,507.58,507.98,1463,29691
2024-03-19 13:45:00,507.98,508.02,507.32,507.42,1020,29730
2024-03-19 14:45:00,507.40,507.50,506.20,506.84,1635,30093
2024-03-19 15:00:00,506.84,507.16,506.76,507.04,176,30035
2024-03-19 22:00:00,507.24,507.70,506.40,506.58,790,30104
2024-03-19 23:00:00,506.58,507.34,506.32,507.14,340,30093
2024-03-20 00:00:00,507.14,507.34,506.78,507.14,60,30089
2024-03-20 01:00:00,507.14,507.32,506.94,507.10,39,30085
2024-03-20 02:00:00,507.10,507.68,507.10,507.68,138,30070
2024-03-20 09:30:00,507.68,508.06,507.42,508.02,397,30085
2024-03-20 10:45:00,508.02,508.10,507.46,507.98,747,30026
2024-03-20 13:45:00,507.94,508.00,507.54,507.84,3506,30037
2024-03-20 14:45:00,507.84,507.84,507.30,507.44,341,30063
2024-03-20 15:00:00,507.44,507.56,507.38,507.42,197,30147
2024-03-20 22:00:00,506.60,508.70,506.60,508.44,2334,30318
2024-03-20 23:00:00,508.44,509.90,507.66,508.08,1810,30338
2024-03-21 00:00:00,508.08,508.40,507.60,508.00,282,30358
